"race_id","position","driver_id","q1laptime","q2laptime","q3laptime","speedtrap"
"92","11","38","104.221","103.844","null","306.3"
"92","12","39","104.153","103.865","null","308.3"
"92","13","40","103.654","104.062","null","309.2"
"92","14","19","103.846","104.301","null","312.7"
"92","15","7","104.145","null","null","302.9"
"92","16","25","104.489","null","null","309.3"
"92","17","5","104.917","null","null","310.6"
"92","18","41","104.998","null","null","306.9"
"92","19","36","105.134","null","null","307.8"
"92","20","33","105.307","null","null","306.2"
"93","1","11","80.722","79.846","79.119","342.7"
"93","2","12","80.542","79.629","79.28","341.5"
"93","3","1","80.81","79.798","79.294","343.8"
"93","4","15","81.381","80.427","79.656","343.1"
"93","5","27","81.381","80.333","80.615","334.5"
"93","6","22","81.887","81.239","80.936","337.6"
"93","7","25","81.732","81.552","81.041","341.7"
"93","8","34","81.57","81.315","81.099","344.8"
"93","9","38","81.834","81.667","81.35","340.1"
"93","10","36","81.838","81.494","81.627","337.7"
"93","11","4","81.783","81.669","null","336.8"
"93","12","41","81.813","81.732","null","338.7"
"93","13","5","81.85","82.568","null","346.4"
"93","14","7","81.801","null","null","334.8"
"93","15","2","81.28","null","null","332.2"
"93","16","16","81.888","null","null","338"
"93","17","40","81.889","null","null","332"
"93","18","39","81.934","null","null","336.7"
"93","19","19","82.048","null","null","331.5"
"93","20","33","82.085","null","null","333.7"
"94","1","1","99.403","97.344","96.015","308.7"
"94","2","27","98.751","97.214","96.334","301.2"
"94","3","12","98.218","97.876","96.628","311.6"
"94","4","15","99.291","97.254","96.702","309.1"
"94","5","11","98.534","97.194","96.794","311.6"
"94","6","2","98.153","97.406","96.996","303.3"
"94","7","16","98.814","98.342","97.985","307"
"94","8","22","98.685","98.367","98.32","303.6"
"94","9","34","98.912","98.534","98.365","306.4"
"94","10","7","98.932","98.45","98.588","300"
"94","11","5","99.022","98.641","null","301.3"
"94","12","25","99.103","98.716","null","300"
"94","13","40","99.206","98.747","null","305.9"
"94","14","19","99.366","99.453","null","304.3"
"94","15","38","99.614","99.691","null","298.1"
"94","16","4","99.644","null","null","301.5"
"94","17","39","99.809","null","null","301.6"
"94","18","33","99.864","null","null","301.6"
"94","19","41","101.263","null","null","307"
"94","20","36","101.334","null","null","305.6"
"95","1","15","92.964","92.744","91.387","325.9"
"95","2","1","92.41","92.595","91.532","327.6"
"95","3","12","93.476","93.045","91.943","325.7"
"95","4","11","93.341","93.065","92.237","324.7"
"95","5","4","94.078","93.747","93.181","321.4"
"95","6","34","94.29","93.596","93.413","326.8"
"95","7","40","93.924","93.488","93.419","325.9"
"95","8","16","94.084","93.923","93.563","330"
"95","9","22","94.022","93.517","93.704","322.7"
"95","10","19","94.17","93.995","95.196","324.2"
