id,temp,feels_like,humidity,clouds,wind_speed,main,description,icon,date,lat,long,locality,country,season,round
111,71,71,72,75,3.6,Thunderstorm,Thunderstorm,11d,2019-07-28,49.3278,8.56583,Hockenheim,Germany,2019,11
112,77,76,44,0,3.6,Clear,Clear Sky,01d,2019-08-04,47.5789,19.2486,Budapest,Hungary,2019,12
113,63,62,69,40,3,Clouds,Scattered Clouds,03d,2019-09-01,50.4372,5.97139,Spa,Belgium,2019,13
114,67,67,61,29,0.89,Clouds,Scattered Clouds,03d,2019-09-08,45.6156,9.28111,Monza,Italy,2019,14
115,86,95,71,75,6.2,Haze,Haze,50n,2019-09-22,1.2914,103.864,Marina Bay,Singapore,2019,15
116,72,72,64,40,4.02,Clouds,Scattered Clouds,03d,2019-09-29,43.4057,39.9578,Sochi,Russia,2019,16
117,74,74,52,0,8.2,Clear,Clear Sky,01d,2019-10-13,34.8431,136.541,Suzuka,Japan,2019,17
118,73,72,46,75,3.1,Rain,Light Rain,10d,2019-10-27,19.4042,-99.0907,Mexico City,Mexico,2019,18
119,72,70,24,20,4.6,Clouds,Few Clouds,02d,2019-11-03,30.1328,-97.6411,Austin,USA,2019,19
120,68,68,64,40,7.2,Clouds,Scattered Clouds,03d,2019-11-17,-23.7036,-46.6997,Sao Paulo,Brazil,2019,20
121,81,81,47,0,4.6,Clear,Clear Sky,01d,2019-12-01,24.4672,54.6031,Abu Dhabi,UAE,2019,21
