season,date,race_id,location,driver_id,name,team,enginemanufacturer,resultposition,gridposition,status,completedlaps,comment,nolaps,tracklength
2014,2014-07-20,10,Hockenheim,6,Jean-Eric Vergne,ToroRosso,Renault,13,13,F,66,,67,4574
2014,2014-07-27,11,Budapest,6,Jean-Eric Vergne,ToroRosso,Renault,9,8,F,70,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,6,Jean-Eric Vergne,ToroRosso,Renault,11,12,F,44,,44,7004
2014,2014-09-07,13,Monza,6,Jean-Eric Vergne,ToroRosso,Renault,13,12,F,53,,53,5793
2014,2014-09-21,14,Singapore,6,Jean-Eric Vergne,ToroRosso,Renault,6,12,F,60,,60,5063
2014,2014-10-05,15,Suzuka,6,Jean-Eric Vergne,ToroRosso,Renault,9,20,F,44,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,6,Jean-Eric Vergne,ToroRosso,Renault,13,9,F,53,,53,5848
2014,2014-11-02,17,Austin,6,Jean-Eric Vergne,ToroRosso,Renault,10,14,F,56,,56,5513
2014,2014-11-09,18,SaoPaulo,6,Jean-Eric Vergne,ToroRosso,Renault,13,15,F,70,,71,4309
2014,2014-11-23,19,YasMarina,6,Jean-Eric Vergne,ToroRosso,Renault,12,10,F,55,,55,5554
2014,2014-03-16,1,Melbourne,7,Nico Hulkenberg,ForceIndia,Mercedes,6,7,F,57,,57,5303
2014,2014-03-30,2,KualaLumpur,7,Nico Hulkenberg,ForceIndia,Mercedes,5,7,F,56,,56,5543
2014,2014-04-06,3,Sakhir,7,Nico Hulkenberg,ForceIndia,Mercedes,5,11,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,7,Nico Hulkenberg,ForceIndia,Mercedes,6,8,F,54,,54,5451
2014,2014-05-11,5,Catalunya,7,Nico Hulkenberg,ForceIndia,Mercedes,10,10,F,65,,66,4655
2014,2014-05-25,6,MonteCarlo,7,Nico Hulkenberg,ForceIndia,Mercedes,5,11,F,77,,78,3337
2014,2014-06-08,7,Montreal,7,Nico Hulkenberg,ForceIndia,Mercedes,5,11,F,70,Race finished behind SC,70,4361
2014,2014-06-22,8,Spielberg,7,Nico Hulkenberg,ForceIndia,Mercedes,9,10,F,71,,71,4318
2014,2014-07-06,9,Silverstone,7,Nico Hulkenberg,ForceIndia,Mercedes,8,4,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,7,Nico Hulkenberg,ForceIndia,Mercedes,7,9,F,67,,67,4574
2014,2014-07-27,11,Budapest,7,Nico Hulkenberg,ForceIndia,Mercedes,20,9,DNF,14,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,7,Nico Hulkenberg,ForceIndia,Mercedes,10,18,F,44,,44,7004
2014,2014-09-07,13,Monza,7,Nico Hulkenberg,ForceIndia,Mercedes,12,13,F,53,,53,5793
2014,2014-09-21,14,Singapore,7,Nico Hulkenberg,ForceIndia,Mercedes,9,13,F,60,,60,5063
2014,2014-10-05,15,Suzuka,7,Nico Hulkenberg,ForceIndia,Mercedes,8,13,F,44,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,7,Nico Hulkenberg,ForceIndia,Mercedes,12,17,F,53,,53,5848
2014,2014-11-02,17,Austin,7,Nico Hulkenberg,ForceIndia,Mercedes,16,13,DNF,16,,56,5513
2014,2014-11-09,18,SaoPaulo,7,Nico Hulkenberg,ForceIndia,Mercedes,8,12,F,71,,71,4309
2014,2014-11-23,19,YasMarina,7,Nico Hulkenberg,ForceIndia,Mercedes,6,12,F,55,,55,5554
2014,2014-03-16,1,Melbourne,8,Daniil Kvyat,ToroRosso,Renault,9,8,F,57,,57,5303
2014,2014-03-30,2,KualaLumpur,8,Daniil Kvyat,ToroRosso,Renault,10,11,F,55,,56,5543
2014,2014-04-06,3,Sakhir,8,Daniil Kvyat,ToroRosso,Renault,11,12,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,8,Daniil Kvyat,ToroRosso,Renault,10,13,F,53,,54,5451
2014,2014-05-11,5,Catalunya,8,Daniil Kvyat,ToroRosso,Renault,14,12,F,65,,66,4655
2014,2014-05-25,6,MonteCarlo,8,Daniil Kvyat,ToroRosso,Renault,19,9,DNF,10,,78,3337
2014,2014-06-08,7,Montreal,8,Daniil Kvyat,ToroRosso,Renault,16,15,DNF,47,Race finished behind SC,70,4361
2014,2014-06-22,8,Spielberg,8,Daniil Kvyat,ToroRosso,Renault,22,7,DNF,24,,71,4318
2014,2014-07-06,9,Silverstone,8,Daniil Kvyat,ToroRosso,Renault,9,9,F,52,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,8,Daniil Kvyat,ToroRosso,Renault,20,8,DNF,44,,67,4574
2014,2014-07-27,11,Budapest,8,Daniil Kvyat,ToroRosso,Renault,14,10,F,69,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,8,Daniil Kvyat,ToroRosso,Renault,9,11,F,44,,44,7004
2014,2014-09-07,13,Monza,8,Daniil Kvyat,ToroRosso,Renault,11,21,F,53,,53,5793
2014,2014-09-21,14,Singapore,8,Daniil Kvyat,ToroRosso,Renault,14,10,F,60,,60,5063
2014,2014-10-05,15,Suzuka,8,Daniil Kvyat,ToroRosso,Renault,11,12,F,43,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,8,Daniil Kvyat,ToroRosso,Renault,14,5,F,52,,53,5848
2014,2014-11-02,17,Austin,8,Daniil Kvyat,ToroRosso,Renault,15,17,F,55,,56,5513
2014,2014-11-09,18,SaoPaulo,8,Daniil Kvyat,ToroRosso,Renault,11,17,F,70,,71,4309
2014,2014-11-23,19,YasMarina,8,Daniil Kvyat,ToroRosso,Renault,20,5,DNF,14,,55,5554
2014,2014-03-16,1,Melbourne,9,Felipe Massa,Williams,Mercedes,20,9,DNF,0,,57,5303
2014,2014-03-30,2,KualaLumpur,9,Felipe Massa,Williams,Mercedes,7,13,F,56,,56,5543
2014,2014-04-06,3,Sakhir,9,Felipe Massa,Williams,Mercedes,7,7,F,57,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
2014,2014-04-20,4,Shanghai,9,Felipe Massa,Williams,Mercedes,15,6,F,53,,54,5451
2014,2014-05-11,5,Catalunya,9,Felipe Massa,Williams,Mercedes,13,9,F,65,,66,4655
2014,2014-05-25,6,MonteCarlo,9,Felipe Massa,Williams,Mercedes,7,16,F,77,,78,3337
2014,2014-06-08,7,Montreal,9,Felipe Massa,Williams,Mercedes,12,5,DNF,69,Race finished behind SC,70,4361
2014,2014-06-22,8,Spielberg,9,Felipe Massa,Williams,Mercedes,4,1,F,71,,71,4318
2014,2014-07-06,9,Silverstone,9,Felipe Massa,Williams,Mercedes,21,15,DNF,0,"RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,5891
2014,2014-07-20,10,Hockenheim,9,Felipe Massa,Williams,Mercedes,22,3,DNF,0,,67,4574
2014,2014-07-27,11,Budapest,9,Felipe Massa,Williams,Mercedes,5,6,F,70,Wet in the beginning,70,4381
2014,2014-08-24,12,Spa,9,Felipe Massa,Williams,Mercedes,13,9,F,44,,44,7004
2014,2014-09-07,13,Monza,9,Felipe Massa,Williams,Mercedes,3,4,F,53,,53,5793
2014,2014-09-21,14,Singapore,9,Felipe Massa,Williams,Mercedes,5,6,F,60,,60,5063
2014,2014-10-05,15,Suzuka,9,Felipe Massa,Williams,Mercedes,7,4,F,44,"Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,5807
2014,2014-10-12,16,Sochi,9,Felipe Massa,Williams,Mercedes,11,18,F,53,,53,5848
2014,2014-11-02,17,Austin,9,Felipe Massa,Williams,Mercedes,4,4,F,56,,56,5513
2014,2014-11-09,18,SaoPaulo,9,Felipe Massa,Williams,Mercedes,3,3,F,71,,71,4309
2014,2014-11-23,19,YasMarina,9,Felipe Massa,Williams,Mercedes,2,4,F,55,,55,5554
2014,2014-03-16,1,Melbourne,10,Jenson Button,McLaren,Mercedes,3,10,F,57,,57,5303
2014,2014-03-30,2,KualaLumpur,10,Jenson Button,McLaren,Mercedes,6,10,F,56,,56,5543
2014,2014-04-06,3,Sakhir,10,Jenson Button,McLaren,Mercedes,17,6,DNF,55,"Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,5412
